book,title
Harry Potter and the Goblet of Fire,Rubeus Hagrid's father
Harry Potter and the Goblet of Fire,Boris the Bewildered
Harry Potter and the Goblet of Fire,Wilhelmina Grubbly-Plank
Harry Potter and the Goblet of Fire,Care of Magical Creatures
Harry Potter and the Goblet of Fire,Unicorn
Harry Potter and the Goblet of Fire,Ludovic Bagman's goblin creditors
Harry Potter and the Goblet of Fire,Bertha Jorkins's second cousin
Harry Potter and the Goblet of Fire,Bertha Jorkins's aunt
Harry Potter and the Goblet of Fire,Aberforth Dumbledore
Harry Potter and the Goblet of Fire,Olive Hornby's brother
Harry Potter and the Goblet of Fire,Unicorn
Harry Potter and the Goblet of Fire,Great Lake
Harry Potter and the Goblet of Fire,Grindylow
Harry Potter and the Goblet of Fire,Great Lake Selkie colony
Harry Potter and the Goblet of Fire,Gabrielle Delacour
Harry Potter and the Goblet of Fire,Murcus
Harry Potter and the Goblet of Fire,Bartemius Crouch Jr's mother
Harry Potter and the Goblet of Fire,Evan Rosier
Harry Potter and the Goblet of Fire,Wilkes
Harry Potter and the Goblet of Fire,Bellatrix Lestrange
Harry Potter and the Goblet of Fire,Rodolphus Lestrange (II)
Harry Potter and the Goblet of Fire,Avery (Marauder-era)
Harry Potter and the Goblet of Fire,Care of Magical Creatures
Harry Potter and the Goblet of Fire,Niffler
Harry Potter and the Goblet of Fire,Old muggle tramp
Harry Potter and the Goblet of Fire,Cornelius Fudge's wife
Harry Potter and the Goblet of Fire,Andorran Ministry of Magic
Harry Potter and the Goblet of Fire,Antonin Dolohov
Harry Potter and the Goblet of Fire,Travers
Harry Potter and the Goblet of Fire,Mulciber (Marauder-era)
Harry Potter and the Goblet of Fire,Augustus Rookwood
Harry Potter and the Goblet of Fire,Ludovic Bagman's father
Harry Potter and the Goblet of Fire,Unidentified female Council of Magical Law juror
Harry Potter and the Goblet of Fire,Rabastan Lestrange
Harry Potter and the Goblet of Fire,Frank Longbottom
Harry Potter and the Goblet of Fire,Alice Longbottom
Harry Potter and the Goblet of Fire,Florence (Hogwarts student)
Harry Potter and the Goblet of Fire,Florence's boyfriend
Harry Potter and the Goblet of Fire,Apolline Delacour
Harry Potter and the Goblet of Fire,Cedric Diggory's mother
Harry Potter and the Goblet of Fire,Viktor Krum's father
Harry Potter and the Goblet of Fire,Viktor Krum's mother
Harry Potter and the Goblet of Fire,Apollyon Pringle
Harry Potter and the Goblet of Fire,Ogg
Harry Potter and the Goblet of Fire,Bodrod the Bearded
Harry Potter and the Goblet of Fire,Urg the Unclean
Harry Potter and the Goblet of Fire,Triwizard Maze
Harry Potter and the Goblet of Fire,Boggart
Harry Potter and the Goblet of Fire,Triwizard Maze
Harry Potter and the Goblet of Fire,Sphinx
Harry Potter and the Goblet of Fire,Triwizard Maze
Harry Potter and the Goblet of Fire,Spider
Harry Potter and the Goblet of Fire,Crabbe
Harry Potter and the Goblet of Fire,Goyle
Harry Potter and the Goblet of Fire,Nott
Harry Potter and the Goblet of Fire,Lee Jordan's father
Harry Potter and the Goblet of Fire,Harry Potter
Harry Potter and the Goblet of Fire,Alice Farrell
Harry Potter and the Goblet of Fire,Butterbeer Chewy Candy
Harry Potter and the Goblet of Fire,Muthead
Harry Potter and the Half-Blood Prince,President of foreign country
Harry Potter and the Half-Blood Prince,Prime Minister's political opponent
Harry Potter and the Half-Blood Prince,Herbert Chorley
Harry Potter and the Half-Blood Prince,Ulick Gamp
Harry Potter and the Half-Blood Prince,Prime Minister's niece
Harry Potter and the Half-Blood Prince,Prime Minister's personal secretary
Harry Potter and the Half-Blood Prince,Chancellor of the Exchequer
Harry Potter and the Half-Blood Prince,Fox near Spinner's End
Harry Potter and the Half-Blood Prince,Corban Yaxley
Harry Potter and the Half-Blood Prince,Amycus Carrow
Harry Potter and the Half-Blood Prince,Alecto Carrow
Harry Potter and the Half-Blood Prince,Fenrir Greyback
Harry Potter and the Half-Blood Prince,Horace Slughorn
Harry Potter and the Half-Blood Prince,Dirk Cresswell
Harry Potter and the Half-Blood Prince,Barnabas Cuffe
Harry Potter and the Half-Blood Prince,Ciceron Harkiss
Harry Potter and the Half-Blood Prince,Gwenog Jones
Harry Potter and the Half-Blood Prince,Arkie Philpott
Harry Potter and the Half-Blood Prince,Ministry of Magic Car Driver
Harry Potter and the Half-Blood Prince,Amulet
Harry Potter and the Half-Blood Prince,Verity
Harry Potter and the Half-Blood Prince,Arnold (Pygmy Puff)
Harry Potter and the Half-Blood Prince,Unidentified Aurors
Harry Potter and the Half-Blood Prince,Romilda Vane
Harry Potter and the Half-Blood Prince,Unidentified third year girl
Harry Potter and the Half-Blood Prince,Cormac McLaggen
Harry Potter and the Half-Blood Prince,Marcus Belby
Harry Potter and the Half-Blood Prince,Damocles Belby
Harry Potter and the Half-Blood Prince,Marcus Belby's father
Harry Potter and the Half-Blood Prince,Tiberius
Harry Potter and the Half-Blood Prince,Bertie Higgs
Harry Potter and the Half-Blood Prince,Blaise Zabini's mother
Harry Potter and the Half-Blood Prince,Proudfoot (Auror)
Harry Potter and the Half-Blood Prince,Savage
Harry Potter and the Half-Blood Prince,Unidentified Gryffindor fourth year boy
Harry Potter and the Half-Blood Prince,Libatius Borage
Harry Potter and the Half-Blood Prince,Hector Dagworth-Granger
Harry Potter and the Half-Blood Prince,Abraxas Malfoy
Harry Potter and the Half-Blood Prince,Humphrey Belcher
Harry Potter and the Half-Blood Prince,Bob Ogden
Harry Potter and the Half-Blood Prince,Marvolo Gaunt
Harry Potter and the Half-Blood Prince,Morfin Gaunt
Harry Potter and the Half-Blood Prince,Cecilia
Harry Potter and the Half-Blood Prince,Tom Riddle's chestnut horse
Harry Potter and the Half-Blood Prince,Patil twins' father
Harry Potter and the Half-Blood Prince,Patil twins' mother
Harry Potter and the Half-Blood Prince,Eloise Midgen's father
Harry Potter and the Half-Blood Prince,Hannah Abbott's mother
Harry Potter and the Half-Blood Prince,Demelza Robins
Harry Potter and the Half-Blood Prince,Jimmy Peakes
Harry Potter and the Half-Blood Prince,Ritchie Coote
Harry Potter and the Half-Blood Prince,Melinda Bobbin
Harry Potter and the Half-Blood Prince,Leanne
Harry Potter and the Half-Blood Prince,Caractacus Burke
Harry Potter and the Half-Blood Prince,Unidentified Wool's Orphanage girl
Harry Potter and the Half-Blood Prince,Cole
Harry Potter and the Half-Blood Prince,Martha (disambiguation)
Harry Potter and the Half-Blood Prince,Billy Stubbs
Harry Potter and the Half-Blood Prince,Eric Whalley
Harry Potter and the Half-Blood Prince,Billy Stubbs's Rabbit
Harry Potter and the Half-Blood Prince,Amy Benson
Harry Potter and the Half-Blood Prince,Dennis Bishop
Harry Potter and the Half-Blood Prince,Muriel
Harry Potter and the Half-Blood Prince,Vaisey
Harry Potter and the Half-Blood Prince,Urquhart
Harry Potter and the Half-Blood Prince,Harper
Harry Potter and the Half-Blood Prince,Romilda Vane's grandmother
Harry Potter and the Half-Blood Prince,Eldred Worple
Harry Potter and the Half-Blood Prince,Sanguini
Harry Potter and the Half-Blood Prince,Gawain Robards
Harry Potter and the Half-Blood Prince,Fergus
Harry Potter and the Half-Blood Prince,Galatea Merrythought
Harry Potter and the Half-Blood Prince,Lestrange
Harry Potter and the Half-Blood Prince,Avery (Riddle-era)
Harry Potter and the Half-Blood Prince,Scarpin
Harry Potter and the Half-Blood Prince,Wilkie Twycross
Harry Potter and the Half-Blood Prince,Unidentifed Hufflepuff Captain
Harry Potter and the Half-Blood Prince,Cadwallader
Harry Potter and the Half-Blood Prince,Hokey
Harry Potter and the Half-Blood Prince,Hepzibah Smith
Harry Potter and the Half-Blood Prince,Hepzibah Smith's Family
Harry Potter and the Half-Blood Prince,Rosier
Harry Potter and the Half-Blood Prince,Mulciber (Riddle-era)
Harry Potter and the Half-Blood Prince,Octavius Pepper
Harry Potter and the Half-Blood Prince,Unidentified nine-year old
Harry Potter and the Half-Blood Prince,Unidentified nine-year old's grandparents
Harry Potter and the Half-Blood Prince,Montgomery sisters
Harry Potter and the Half-Blood Prince,Montgomery
Harry Potter and the Half-Blood Prince,Montgomery siblings' mother
